text,outcome,stage
đau lưng dưới và đau khớp gối,0,0
"Tôi hay đói, ăn nhiều nhưng vẫn sụt kí",1,2
Tay chân tôi hay bị tê bì và ngứa ran,1,3
"Tê tay và chân, cảm giác kim châm",1,3
"Gần đây tôi hay mệt sau bữa trưa, phải nghỉ mới tỉnh",1,1
"Tôi cảm thấy hơi khát sau bữa ăn ngọt, không quá nhiều",1,1
Buổi chiều tôi hay ngáp và muốn uống nước,1,1
Ăn xong tôi cảm thấy hơi mệt và thèm đồ ngọt,1,1
Đôi lúc thấy miệng hơi khô nhưng uống nước là bình thường,1,1
Tay chân tê nhứt không rõ lý do,1,3
khi đi tiểu tôi cảm thấy rất buốt và rát ở đường tiểu,0,0
"nước tiểu của tôi có màu vàng sậm và mùi rất nồng, khác hẳn bình thường",0,0
"cảm thấy mót tiểu liên tục nhưng mỗi lần đi rất ít, không thoải mái",0,0
"tôi thấy nước tiểu có màu hơi hồng, giống như có lẫn máu",0,0
tôi thấy kiến bu quanh nước tiểu của mình ở nhà vệ sinh,1,2
"nước tiểu của tôi có kiến bâu vào, tôi thấy hơi lạ",1,2
"hay thấy ngứa ran ở lòng bàn chân, bàn tay",1,3
tôi để ý thấy kiến hay tập trung ở chỗ tôi đi tiểu,1,2
dạo này nước tiểu của tôi có rất nhiều bọt,1,3
"tôi thấy nước tiểu nổi bọt, giống như xà phòng và rất lâu tan",1,3
"nước tiểu có bọt bất thường, dù tôi không tiểu mạnh",1,3
"nước tiểu của tôi có màu vàng đậm, dù tôi uống khá nhiều nước",0,0
tôi thấy nước tiểu màu vàng sậm và có mùi khai nồng,0,0
"Buổi sáng dậy miệng hơi khô, uống nước mới thấy dễ chịu.",0,0
nước tiểu có màu cam đậm vào buổi sáng,0,0
Sau khi ăn tôi thường buồn ngủ và thấy nặng người,1,1
Buổi sáng tôi dậy thấy miệng khô và lưỡi dính lại,1,1
"Tôi thường xuyên phải đi vệ sinh giữa đêm, rất mệt mỏi",1,2
Dù ăn uống bình thường nhưng vẫn thấy yếu và hay đói.,1,2
Tôi thấy da bàn chân khô nứt và rất khó liền,1,3
Tôi phải đi tiểu gần như mỗi giờ dù không uống nhiều nước,1,2
Tôi bị tê bì ngón tay và cảm giác như kiến bò,1,3
"Thở ra có mùi hơi ngọt, mọi người cũng nhận ra",1,3
Buổi chiều tôi rất dễ buồn ngủ và hay thèm đồ ngọt,1,1
Da ở cổ tay tôi bị sạm và khô hơn hẳn so với trước,1,3
Thỉnh thoảng tôi cảm thấy ngứa ran ở lòng bàn chân,1,3
Sau bữa ăn tôi thấy buồn ngủ và không tập trung nổi.,1,1
Thỉnh thoảng tôi thấy chóng mặt nhẹ sau bữa ăn trưa.,0,0
Tôi cảm thấy uể oải và thiếu năng lượng dù ngủ đủ.,1,1
"Dạo này tôi thấy ăn xong rất nhanh đói lại, nhưng không tăng kg",1,1
"Tôi hay bị khát nhẹ, đặc biệt là sau khi ăn đồ ngọt",1,1
Cảm giác hay buồn ngủ dù ngủ đủ giấc,1,1
Tôi hay thèm ăn ngọt và cảm thấy khô cổ,1,1
Ăn xong một lúc là thấy mệt rũ người,0,0
"muốn uống nước liên tục, đặc biệt là sau khi ăn",1,1
thèm đồ uống có ga và cảm thấy khát nước,1,1
đi vệ sinh nhiều hơn bình thường,1,3
Tôi bị cảm cúm nhẹ,0,0
chán ăn nhẹ,0,0
vết thương lâu lành,1,2
đau lưng do ngồi lâu,0,0
mất ngủ vì lo lắng,0,0
Tôi đau răng âm ỉ,0,0
da khô và bong tróc,1,1
đầy bụng sau bữa ăn,0,0
đau cổ vai gáy,0,0
bị cảm cúm nhẹ,0,0
sụt cân không rõ lý do,1,1
Tôi giảm cân nhanh dù ăn nhiều,1,2
ngủ không sâu giấc,0,0
mỏi mắt khi dùng điện thoại,0,0
da khô và bong tróc,1,3
mỏi mắt khi dùng điện thoại,0,0
hắt hơi khi gặp bụi,0,0
buồn ngủ sau khi ăn,1,2
Tôi mất ngủ vì lo lắng,0,0
Tôi đôi khi hoa mắt,1,3
Tôi thường xuyên khát nước,1,1
đôi khi hoa mắt,1,3
đau lưng do ngồi lâu,0,0
hắt hơi thường xuyên,0,0
Tôi giảm cân nhanh dù ăn nhiều,1,3
đi vệ sinh nhiều hơn bình thường,1,2
thường xuyên mệt mỏi,1,3
ngủ không sâu giấc,0,0
đau răng âm ỉ,0,0
hắt hơi thường xuyên,0,0
đau lưng do ngồi lâu,0,0
đau đầu nhẹ kéo dài,1,2
mỏi mắt khi dùng điện thoại,0,0
sụt cân không rõ lý do,1,3
đau họng và sổ mũi,0,0
Tôi đau đầu nhẹ kéo dài,1,3
thường xuyên khát nước,1,2
thường xuyên mệt mỏi,1,1
Tôi buồn ngủ sau khi ăn,1,3
Tôi đau khớp gối khi trời lạnh,0,0
đau cổ vai gáy,0,0
buồn ngủ sau khi ăn,1,1
hay khô miệng,1,3
Tôi đau khớp gối khi trời lạnh,0,0
mệt do thức khuya,0,0
mỏi mắt khi dùng điện thoại,0,0
đi vệ sinh nhiều hơn bình thường,1,2
đau lưng do ngồi lâu,0,0
Tôi ngủ không sâu giấc,0,0
Tôi mệt do thức khuya,0,0
đau đầu nhẹ kéo dài,1,3
Tôi đôi khi hoa mắt,1,1
chán ăn nhẹ,0,0
Tôi bị dị ứng thời tiết,0,0
đi tiểu nhiều lần trong ngày,1,3
Tôi đau cổ vai gáy,0,0
đau bụng nhẹ sau khi ăn,0,0
chóng mặt do thiếu ngủ,0,0
đau họng và sổ mũi,0,0
dễ đói lại sau khi ăn,1,2
ngủ không sâu giấc,0,0
thường xuyên khát nước,1,2
Tôi dễ cáu gắt và mất tập trung,1,1
mỏi mắt khi dùng điện thoại,0,0
hay khô miệng,1,2
dễ đói lại sau khi ăn,1,1
giảm cân nhanh dù ăn nhiều,1,3
bị dị ứng thời tiết,0,0
giảm cân nhanh dù ăn nhiều,1,3
Tôi giảm cân nhanh dù ăn nhiều,1,1
da khô và bong tróc,1,2
hắt hơi thường xuyên,0,0
ngứa da không rõ nguyên nhân,1,3
Tôi đau lưng do ngồi lâu,0,0
đau đầu nhẹ kéo dài,1,3
Tôi chán ăn nhẹ,0,0
giảm cân nhanh dù ăn nhiều,1,1
chóng mặt và mệt,1,1
giảm cân nhanh dù ăn nhiều,1,3
buồn ngủ sau khi ăn,1,1
chán ăn nhẹ,0,0
da khô và bong tróc,1,1
mỏi mắt khi dùng điện thoại,0,0
Tôi hay cảm thấy đói giữa đêm,1,2
Tôi hay khô miệng,1,1
Tôi mất ngủ vì lo lắng,0,0
bị dị ứng thời tiết,0,0
ngủ không sâu giấc,0,0
đau răng âm ỉ,0,0
dễ cáu gắt và mất tập trung,1,2
chán ăn nhẹ,0,0
dễ cáu gắt và mất tập trung,1,2
ngủ không sâu giấc,0,0
đau đầu khi thay đổi thời tiết,0,0
vết thương lâu lành,1,1
da khô và bong tróc,1,3
chóng mặt và mệt,1,2
Tôi da khô và bong tróc,1,1
đau cổ vai gáy,0,0
hay khô miệng,1,2
đau đầu nhẹ kéo dài,1,2
đau lưng do ngồi lâu,0,0
đau đầu nhẹ kéo dài,1,2
hay đi tiểu về đêm,1,1
chóng mặt do thiếu ngủ,0,0
chán ăn nhẹ,0,0
chóng mặt và mệt,1,2
đau lưng do ngồi lâu,0,0
buồn ngủ sau khi ăn,1,3
hắt hơi khi gặp bụi,0,0
mỏi mắt khi dùng điện thoại,0,0
Tôi đi tiểu nhiều lần trong ngày,1,1
mất ngủ vì lo lắng,0,0
ho khan vài ngày,0,0
sụt cân không rõ lý do,1,1
buồn ngủ sau khi ăn,1,2
đi vệ sinh nhiều hơn bình thường,1,2
Tôi bị cảm cúm nhẹ,0,0
chán ăn nhẹ,0,0
đi vệ sinh bình thường,0,0
đôi khi hoa mắt,1,3
buồn ngủ sau khi ăn,1,2
buồn ngủ sau khi ăn,1,2
dễ đói lại sau khi ăn,1,3
đau đầu khi thay đổi thời tiết,0,0
bị cảm cúm nhẹ,0,0
bị cảm cúm nhẹ,0,0
Tôi bị dị ứng thời tiết,0,0
Tôi da khô và bong tróc,1,1
mệt do thức khuya,0,0
Tôi hay cảm thấy đói giữa đêm,1,3
bị dị ứng thời tiết,0,0
Tôi bị cảm cúm nhẹ,0,0
Tôi hay khô miệng,1,1
Tôi vết thương lâu lành,1,1
Tôi đau lưng do ngồi lâu,0,0
nhìn mờ khi tập trung,1,3
hay cảm thấy đói giữa đêm,1,1
thường xuyên khát nước,1,3
thường xuyên mệt mỏi,1,3
Tôi đầy bụng sau bữa ăn,0,0
đầy bụng sau bữa ăn,0,0
bị dị ứng thời tiết,0,0
Tôi ho khan vài ngày,0,0
Tôi đau răng âm ỉ,0,0
đau đầu khi thay đổi thời tiết,0,0
đau răng âm ỉ,0,0
đi vệ sinh bình thường,0,0
chán ăn nhẹ,0,0
đi tiểu nhiều lần trong ngày,1,3
Tôi đau cổ vai gáy,0,0
Tôi đôi khi hoa mắt,1,2
tê tay chân,1,2
đau đầu khi thay đổi thời tiết,0,0
thường xuyên khát nước,1,2
nhìn mờ khi tập trung,1,1
hay cảm thấy đói giữa đêm,1,1
đau bụng nhẹ sau khi ăn,0,0
Tôi bị dị ứng thời tiết,0,0
dễ đói lại sau khi ăn,1,3
mỏi mắt khi dùng điện thoại,0,0
hay khô miệng,1,2
Tôi buồn ngủ sau khi ăn,1,2
mất ngủ vì lo lắng,0,0
đôi khi hoa mắt,1,3
dễ cáu gắt và mất tập trung,1,1
dễ đói lại sau khi ăn,1,3
ho khan vài ngày,0,0
nhìn mờ khi tập trung,1,3
dễ đói lại sau khi ăn,1,2
Tôi tê tay chân,1,2
ngứa da không rõ nguyên nhân,1,1
đau họng và sổ mũi,0,0
đi vệ sinh nhiều lần trong ngày,1,3
đi tiểu nhiều lần trong ngày,1,3
hắt hơi thường xuyên,0,0
đi vệ sinh bình thường,0,0
chóng mặt và mệt,1,2
Tôi hắt hơi khi gặp bụi,0,0
đau bụng nhẹ sau khi ăn,0,0
bị dị ứng thời tiết,0,0
giảm cân nhanh dù ăn nhiều,1,2
đau bụng nhẹ sau khi ăn,0,0
ngủ không sâu giấc,0,0
chóng mặt do thiếu ngủ,0,0
đau lưng do ngồi lâu,0,0
Tôi đi vệ sinh nhiều hơn bình thường,1,2
đau răng âm ỉ,0,0
Tôi hay khô miệng,1,2
mệt do thức khuya,0,0
da khô và bong tróc,1,2
Tôi sụt cân không rõ lý do,1,3
đau cổ vai gáy,0,0
Tôi đau lưng do ngồi lâu,0,0
hắt hơi thường xuyên,0,0
đi vệ sinh nhiều hơn bình thường,1,2
nhìn mờ khi tập trung,1,2
da khô và bong tróc,1,1
đau khớp gối khi trời lạnh,0,0
đầy bụng sau bữa ăn,0,0
Tôi hắt hơi khi gặp bụi,0,0
Tôi da khô và bong tróc,1,1
hay cảm thấy đói giữa đêm,1,3
ho khan vài ngày,0,0
dễ đói lại sau khi ăn,1,1
ho khan vài ngày,0,0
đi vệ sinh nhiều hơn bình thường,1,1
Tôi đau họng và sổ mũi,0,0
ngứa da không rõ nguyên nhân,1,3
buồn ngủ sau khi ăn,1,2
thường xuyên khát nước,1,3
đau răng âm ỉ,0,0
nhìn mờ khi tập trung,1,1
hắt hơi thường xuyên,0,0
giảm cân nhanh dù ăn nhiều,1,3
đi vệ sinh bình thường,0,0
đôi khi hoa mắt,1,1
Tôi thường xuyên khát nước,1,3
ho khan vài ngày,0,0
đôi khi hoa mắt,1,3
Tôi mệt do thức khuya,0,0
hay đi tiểu về đêm,1,3
Tôi đau lưng do ngồi lâu,0,0
Tôi buồn ngủ sau khi ăn,1,1
hắt hơi khi gặp bụi,0,0
thường xuyên mệt mỏi,1,2
đi vệ sinh nhiều hơn bình thường,1,1
dễ cáu gắt và mất tập trung,1,1
Tôi thường xuyên khát nước,1,1
bị dị ứng thời tiết,0,0
nhìn mờ khi tập trung,1,2
hắt hơi thường xuyên,0,0
Tôi thường xuyên mệt mỏi,1,2
chóng mặt do thiếu ngủ,0,0
đau khớp gối khi trời lạnh,0,0
hay khô miệng,1,3
hắt hơi thường xuyên,0,0
Tôi giảm cân nhanh dù ăn nhiều,1,3
đôi khi hoa mắt,1,3
chóng mặt và mệt,1,3
buồn ngủ sau khi ăn,1,3
đau lưng do ngồi lâu,0,0
thường xuyên mệt mỏi,1,3
đôi khi hoa mắt,1,3
ho khan vài ngày,0,0
thường xuyên mệt mỏi,1,1
đau răng âm ỉ,0,0
Tôi đầy bụng sau bữa ăn,0,0
Tôi đau lưng do ngồi lâu,0,0
Tôi hắt hơi thường xuyên,0,0
ngủ không sâu giấc,0,0
buồn ngủ sau khi ăn,1,3
đau răng âm ỉ,0,0
bị cảm cúm nhẹ,0,0
chóng mặt và mệt,1,1
đau lưng do ngồi lâu,0,0
hắt hơi khi gặp bụi,0,0
tê tay chân,1,1
Tôi ngủ không sâu giấc,0,0
giảm cân nhanh dù ăn nhiều,1,2
Tôi mệt do thức khuya,0,0
hay khô miệng,1,1
đau răng âm ỉ,0,0
hay đi tiểu về đêm,1,3
thường xuyên mệt mỏi,1,3
Tôi chán ăn nhẹ,0,0
hay cảm thấy đói giữa đêm,1,2
nhìn mờ khi tập trung,1,2
bị dị ứng thời tiết,0,0
bị dị ứng thời tiết,0,0
Tôi thường xuyên mệt mỏi,1,2
mỏi mắt khi dùng điện thoại,0,0
vết thương lâu lành,1,1
ho khan vài ngày,0,0
đau bụng nhẹ sau khi ăn,0,0
dễ cáu gắt và mất tập trung,1,3
ngứa da không rõ nguyên nhân,1,3
ngứa da không rõ nguyên nhân,1,3
mất ngủ vì lo lắng,0,0
đau đầu nhẹ kéo dài,1,3
Tôi thường xuyên khát nước,1,1
thường xuyên mệt mỏi,1,3
sụt cân không rõ lý do,1,3
đi tiểu nhiều lần trong ngày,1,2
thường xuyên mệt mỏi,1,3
đi vệ sinh nhiều lần trong ngày,1,2
hay đi tiểu về đêm,1,1
mỏi mắt khi dùng điện thoại,0,0
hay cảm thấy đói giữa đêm,1,3
ho khan vài ngày,0,0
bị dị ứng thời tiết,0,0
chóng mặt do thiếu ngủ,0,0
dễ đói lại sau khi ăn,1,1
đi vệ sinh nhiều hơn bình thường,1,3
hay khô miệng,1,1
Tôi đầy bụng sau bữa ăn,0,0
hay đi tiểu về đêm,1,2
ngủ không sâu giấc,0,0
chóng mặt do thiếu ngủ,0,0
đau khớp gối khi trời lạnh,0,0
Tôi hay cảm thấy đói giữa đêm,1,2
thường xuyên mệt mỏi,1,2
đầy bụng sau bữa ăn,0,0
hắt hơi thường xuyên,0,0
ho khan vài ngày,0,0
ngủ không sâu giấc,0,0
đau đầu nhẹ kéo dài,1,3
hắt hơi thường xuyên,0,0
đau bụng nhẹ sau khi ăn,0,0
Tôi mệt do thức khuya,0,0
đau đầu nhẹ kéo dài,1,3
hắt hơi khi gặp bụi,0,0
đôi khi hoa mắt,1,3
mỏi mắt khi dùng điện thoại,0,0
tê tay chân,1,1
da khô và bong tróc,1,1
đau khớp gối khi trời lạnh,0,0
Tôi ho khan vài ngày,0,0
hay đi vệ sinh về đêm,1,2
da khô và bong tróc,1,2
Tôi giảm cân nhanh dù ăn nhiều,1,3
mất ngủ vì lo lắng,0,0
đi vệ sinh bình thường,0,0
nhìn mờ khi tập trung,1,1
hay khô miệng,1,3
dễ cáu gắt và mất tập trung,1,1
đi tiểu nhiều lần trong ngày,1,1
Tôi đau đầu khi thay đổi thời tiết,0,0
đau lưng do ngồi lâu,0,0
Tôi ngủ không sâu giấc,0,0
thường xuyên mệt mỏi,1,1
đi vệ sinh nhiều hơn bình thường,1,1
dễ đói lại sau khi ăn,1,1
mỏi mắt khi dùng điện thoại,0,0
ho khan vài ngày,0,0
đau bụng nhẹ sau khi ăn,0,0
đầy bụng sau bữa ăn,0,0
đau bụng nhẹ sau khi ăn,0,0
ngủ không sâu giấc,0,0
chóng mặt và mệt,1,2
Tôi ngứa da không rõ nguyên nhân,1,1
đau đầu khi thay đổi thời tiết,0,0
đầy bụng sau bữa ăn,0,0
da khô và bong tróc,1,1
đau họng và sổ mũi,0,0
ngủ không sâu giấc,0,0
Tôi đầy bụng sau bữa ăn,0,0
Tôi hay khô miệng,1,3
mất ngủ vì lo lắng,0,0
nhìn mờ khi tập trung,1,2
mất ngủ vì lo lắng,0,0
Tôi hắt hơi thường xuyên,0,0
hay khô miệng,1,2
chóng mặt do thiếu ngủ,0,0
hắt hơi thường xuyên,0,0
Tôi ngứa da không rõ nguyên nhân,1,3
Tôi bị dị ứng thời tiết,0,0
buồn ngủ sau khi ăn,1,1
chán ăn nhẹ,0,0
hay khô miệng,1,2
Tôi hắt hơi thường xuyên,0,0
đầy bụng sau bữa ăn,0,0
tê tay chân,1,2
đi tiểu nhiều lần trong ngày,1,2
mệt do thức khuya,0,0
dễ cáu gắt và mất tập trung,1,3
thường xuyên khát nước,1,1
đi vệ sinh bình thường,0,0
đôi khi hoa mắt,1,3
Tôi đi tiểu nhiều lần trong ngày,1,3
mất ngủ vì lo lắng,0,0
Tôi hay khô miệng,1,1
thường xuyên mệt mỏi,1,2
Tôi hay khô miệng,1,1
đầy bụng sau bữa ăn,0,0
đầy bụng sau bữa ăn,0,0
bị cảm cúm nhẹ,0,0
tê tay chân,1,2
dễ cáu gắt và mất tập trung,1,3
đau răng âm ỉ,0,0
hắt hơi khi gặp bụi,0,0
đau họng và sổ mũi,0,0
chóng mặt và mệt,1,1
đau cổ vai gáy,0,0
vết thương lâu lành,1,2
sụt cân không rõ lý do,1,3
đau lưng do ngồi lâu,0,0
